time	 y	 z	 f	 w	 l	 r	 u	 d	 m	 multi
   0.000  3848 2829   0 0  0  0 0 0 0 0  00000000
   1.696  3729 2971  73 1  0  0 0 0 0 0  00000000
   1.708  3698 2972  99 1  0  0 0 0 0 0  00000000
   1.720  3698 2947 100 1  0  0 0 0 0 0  00000000
   1.734  3698 2947  96 1  0  0 0 0 0 0  00000000
   1.746  3698 2900  83 1  0  0 0 0 0 0  00000000
   1.758  3675 2898  50 1  0  0 0 0 0 0  00000000
   1.769  3675 2898   0 0  0  0 0 0 0 0  00000000
   1.907  3550 2982  99 1  0  0 0 0 0 0  00000000
   1.921  3577 2955 103 1  0  0 0 0 0 0  00000000
   1.945  3575 2934  98 1  0  0 0 0 0 0  00000000
   1.957  3569 2908  88 1  0  0 0 0 0 0  00000000
   1.970  3567 2906  76 1  0  0 0 0 0 0  00000000
   1.982  3520 2865  52 1  0  0 0 0 0 0  00000000
   1.994  3520 2865   0 0  0  0 0 0 0 0  00000000
   2.180  3719 2912  92 1  0  0 0 0 0 0  00000000
   2.191  3717 2912  97 1  0  0 0 0 0 0  00000000
   2.204  3712 2912  99 1  0  0 0 0 0 0  00000000
   2.218  3710 2912  97 1  0  0 0 0 0 0  00000000
   2.230  3705 2908  94 1  0  0 0 0 0 0  00000000
   2.241  3700 2877  87 1  0  0 0 0 0 0  00000000
   2.255  3694 2875  77 1  0  0 0 0 0 0  00000000
   2.267  3690 2875  54 1  0  0 0 0 0 0  00000000
   2.279  3690 2875   0 0  0  0 0 0 0 0  00000000
   2.453  3690 2925  59 1  0  0 0 0 0 0  00000000
   2.466  3685 2958  89 1  0  0 0 0 0 0  00000000
   2.477  3683 2958  94 1  0  0 0 0 0 0  00000000
   2.491  3681 2958  93 1  0  0 0 0 0 0  00000000
   2.503  3676 2958  90 1  0  0 0 0 0 0  00000000
   2.515  3674 2939  82 1  0  0 0 0 0 0  00000000
   2.527  3633 2919  66 1  0  0 0 0 0 0  00000000
   2.540  3600 2957  38 1  0  0 0 0 0 0  00000000
   2.551  3600 2957   0 0  0  0 0 0 0 0  00000000
   2.714  3643 3000  91 1  0  0 0 0 0 0  00000000
