0.000,0,0
0.624,0,0
0.642,81,1
0.654,84,1
0.667,82,1
0.680,80,1
0.694,72,1
0.706,57,1
0.716,0,0
0.940,60,1
0.953,53,1
0.965,55,1
0.977,54,1
0.989,53,1
1.002,54,1
1.014,54,1
1.027,53,1
1.039,47,1
1.051,0,0
1.301,89,1
1.312,82,1
1.326,86,1
1.337,85,1
1.351,82,1
1.363,76,1
1.374,64,1
1.387,0,0
1.859,58,1
1.871,55,1
1.884,57,1
1.909,56,1
1.921,56,1
1.933,55,1
1.945,52,1
1.958,46,1
1.969,0,0
2.044,85,1
2.057,84,1
2.070,86,1
2.083,87,1
2.094,86,1
2.107,85,1
2.120,82,1
2.132,80,1
2.144,74,1
2.157,62,1
2.169,0,0
2.442,73,1
2.455,67,1
2.467,70,1
2.504,70,1
2.517,69,1
2.529,66,1
2.541,61,1
2.554,50,1
2.566,0,0
2.802,81,1
2.815,79,1
2.828,80,1
2.839,81,1
2.853,80,1
2.864,79,1
2.876,78,1
2.889,77,1
2.902,76,1
2.913,71,1
2.926,72,1
2.939,72,1
2.952,70,1
2.963,70,1
2.975,71,1
2.985,71,1
3.001,71,1
3.012,72,1
3.025,72,1
3.038,72,1
3.050,72,1
3.062,72,1
3.089,72,1
3.100,71,1
3.114,70,1
3.125,69,1
3.137,65,1
3.150,60,1
3.162,0,0
