time	 y	 z	 f	 w	 l	 r	 u	 d	 m	 multi
   0.000  4316 2313   0 0  0  0 0 0 0 0  00000000
   0.748  2976 2893  75 1  0  0 0 0 0 0  00000000
   0.773  2977 2893  69 1  0  0 0 0 0 0  00000000
   0.785  3009 2893  50 1  0  0 0 0 0 0  00000000
   0.797  3009 2893   0 0  0  0 0 0 0 0  00000000
   0.909  3238 2826  70 1  0  0 0 0 0 0  00000000
   0.922  3215 2748  73 1  0  0 0 0 0 0  00000000
   0.934  3215 2727  77 1  0  0 0 0 0 0  00000000
   0.947  3215 2727  76 1  0  0 0 0 0 0  00000000
   0.959  3216 2727  72 1  0  0 0 0 0 0  00000000
   0.970  3238 2758  66 1  0  0 0 0 0 0  00000000
   0.990  3271 2796  46 1  0  0 0 0 0 0  00000000
   1.000  3271 2796   0 0  0  0 0 0 0 0  00000000
   1.058  3395 2864  65 1  0  0 0 0 0 0  00000000
   1.070  3378 2830  73 1  0  0 0 0 0 0  00000000
   1.083  3376 2799  77 1  0  0 0 0 0 0  00000000
   1.096  3374 2799  79 1  0  0 0 0 0 0  00000000
   1.107  3354 2799  81 1  0  0 0 0 0 0  00000000
   1.120  3354 2799  80 1  0  0 0 0 0 0  00000000
   1.133  3354 2799  78 1  0  0 0 0 0 0  00000000
   1.146  3378 2800  73 1  0  0 0 0 0 0  00000000
   1.158  3423 2832  69 1  0  0 0 0 0 0  00000000
   1.170  3466 2833  60 1  0  0 0 0 0 0  00000000
   1.181  3511 2872  41 1  0  0 0 0 0 0  00000000
   1.194  3511 2872   0 0  0  0 0 0 0 0  00000000
   1.368  3579 2940  57 1  0  0 0 0 0 0  00000000
   1.380  3495 2920  74 1  0  0 0 0 0 0  00000000
   1.393  3475 2918  79 1  0  0 0 0 0 0  00000000
   1.406  3475 2917  80 1  0  0 0 0 0 0  00000000
   1.418  3475 2917  79 1  0  0 0 0 0 0  00000000
   1.431  3476 2918  74 1  0  0 0 0 0 0  00000000
   1.443  3476 2962  64 1  0  0 0 0 0 0  00000000
   1.455  3476 2962   0 0  0  0 0 0 0 0  00000000
   1.642  3419 2996  77 1  0  0 0 0 0 0  00000000
   1.654  3392 2953  78 1  0  0 0 0 0 0  00000000
   1.666  3391 2933  81 1  0  0 0 0 0 0  00000000
   1.678  3387 2933  83 1  0  0 0 0 0 0  00000000
   1.691  3385 2933  84 1  0  0 0 0 0 0  00000000
   1.704  3384 2933  85 1  0  0 0 0 0 0  00000000
   1.716  3384 2933  84 1  0  0 0 0 0 0  00000000
   1.728  3382 2933  83 1  0  0 0 0 0 0  00000000
   1.753  3382 2933  82 1  0  0 0 0 0 0  00000000
   1.765  3382 2932  81 1  0  0 0 0 0 0  00000000
   1.778  3382 2931  82 1  0  0 0 0 0 0  00000000
   1.790  3382 2929  82 1  0  0 0 0 0 0  00000000
   1.803  3382 2924  81 1  0  0 0 0 0 0  00000000
   1.814  3382 2919  82 1  0  0 0 0 0 0  00000000
   1.827  3381 2914  81 1  0  0 0 0 0 0  00000000
   1.840  3381 2912  82 1  0  0 0 0 0 0  00000000
   1.852  3379 2908  82 1  0  0 0 0 0 0  00000000
   1.865  3379 2907  82 1  0  0 0 0 0 0  00000000
   1.878  3379 2905  82 1  0  0 0 0 0 0  00000000
   1.890  3378 2901  82 1  0  0 0 0 0 0  00000000
   1.903  3378 2899  82 1  0  0 0 0 0 0  00000000
   1.915  3378 2898  83 1  0  0 0 0 0 0  00000000
   1.927  3378 2896  83 1  0  0 0 0 0 0  00000000
   1.938  3378 2895  83 1  0  0 0 0 0 0  00000000
   1.959  3378 2895  82 1  0  0 0 0 0 0  00000000
   1.976  3378 2893  83 1  0  0 0 0 0 0  00000000
   1.989  3378 2891  83 1  0  0 0 0 0 0  00000000
   2.001  3378 2886  83 1  0  0 0 0 0 0  00000000
   2.014  3378 2884  80 1  0  0 0 0 0 0  00000000
   2.026  3378 2860  76 1  0  0 0 0 0 0  00000000
   2.039  3401 2860  63 1  0  0 0 0 0 0  00000000
   2.050  3401 2860   0 0  0  0 0 0 0 0  00000000
   2.175  3464 2897  77 1  0  0 0 0 0 0  00000000
   2.188  3435 2856  78 1  0  0 0 0 0 0  00000000
   2.200  3419 2854  81 1  0  0 0 0 0 0  00000000
   2.212  3419 2853  80 1  0  0 0 0 0 0  00000000
   2.225  3419 2851  75 1  0  0 0 0 0 0  00000000
   2.236  3459 2851  65 1  0  0 0 0 0 0  00000000
   2.248  3459 2851   0 0  0  0 0 0 0 0  00000000
   2.325  3539 2884  78 1  0  0 0 0 0 0  00000000
   2.337  3516 2853  81 1  0  0 0 0 0 0  00000000
   2.349  3514 2853  83 1  0  0 0 0 0 0  00000000
