0.000,0,0
0.293,78,1
0.305,73,1
0.317,77,1
0.330,78,1
0.343,77,1
0.354,76,1
0.367,72,1
0.380,70,1
0.393,67,1
0.405,63,1
0.417,51,1
0.428,0,0
0.503,52,1
0.522,51,1
0.542,53,1
0.565,52,1
0.578,52,1
0.603,52,1
0.616,51,1
0.629,47,1
0.643,40,1
0.652,0,0
0.741,80,1
0.753,73,1
0.765,76,1
0.777,76,1
0.790,76,1
0.802,75,1
0.814,73,1
0.828,73,1
0.838,72,1
0.852,73,1
0.864,71,1
0.877,71,1
0.889,70,1
0.902,69,1
0.914,65,1
0.926,41,1
0.937,0,0
0.988,53,1
1.000,56,1
1.013,56,1
1.024,56,1
1.037,56,1
1.050,56,1
1.062,56,1
1.075,57,1
1.087,57,1
1.100,57,1
1.112,57,1
1.125,56,1
1.137,56,1
1.149,55,1
1.162,55,1
1.199,54,1
1.212,53,1
1.224,53,1
1.236,52,1
1.249,51,1
1.262,51,1
1.274,50,1
1.285,49,1
1.298,48,1
1.310,48,1
1.323,47,1
1.335,47,1
1.349,46,1
1.361,46,1
1.373,46,1
1.386,45,1
1.397,45,1
1.410,45,1
1.422,44,1
1.436,42,1
1.447,41,1
1.460,38,1
1.472,36,1
1.485,0,0
1.510,47,1
1.521,73,1
1.535,77,1
1.547,79,1
1.560,81,1
1.572,80,1
1.584,81,1
1.597,81,1
1.608,79,1
1.621,79,1
1.633,80,1
1.647,77,1
1.659,79,1
1.671,77,1
1.683,78,1
1.695,75,1
1.709,70,1
1.721,59,1
1.733,0,0
