time	 y	 z	 f	 w	 l	 r	 u	 d	 m	 multi
   0.000  3719 3007   0 0  0  0 0 0 0 0  00000000
   1.553  3583 3068  91 1  0  0 0 0 0 0  00000000
   1.572  3547 3096  94 1  0  0 0 0 0 0  00000000
   1.591  3547 3143 102 1  0  0 0 0 0 0  00000000
   1.602  3547 3144 100 1  0  0 0 0 0 0  00000000
   1.615  3548 3145  94 1  0  0 0 0 0 0  00000000
   1.628  3549 3119  80 1  0  0 0 0 0 0  00000000
   1.639  3526 3119  44 1  0  0 0 0 0 0  00000000
   1.651  3526 3119   0 0  0  0 0 0 0 0  00000000
   2.149  3603 3020  83 1  0  0 0 0 0 0  00000000
   2.161  3603 2994  87 1  0  0 0 0 0 0  00000000
   2.174  3601 2992  90 1  0  0 0 0 0 0  00000000
   2.185  3599 2990  91 1  0  0 0 0 0 0  00000000
   2.198  3597 2990  91 1  0  0 0 0 0 0  00000000
   2.211  3597 2985  90 1  0  0 0 0 0 0  00000000
   2.223  3596 2979  89 1  0  0 0 0 0 0  00000000
   2.236  3596 2973  87 1  0  0 0 0 0 0  00000000
   2.248  3596 2967  87 1  0  0 0 0 0 0  00000000
   2.261  3596 2965  84 1  0  0 0 0 0 0  00000000
   2.274  3596 2963  81 1  0  0 0 0 0 0  00000000
   2.286  3596 2963  75 1  0  0 0 0 0 0  00000000
   2.300  3616 2981  65 1  0  0 0 0 0 0  00000000
   2.309  3616 3033  37 1  0  0 0 0 0 0  00000000
   2.321  3616 3033   0 0  0  0 0 0 0 0  00000000
   2.694  3786 2958  92 1  0  0 0 0 0 0  00000000
   2.707  3784 2922  93 1  0  0 0 0 0 0  00000000
   2.719  3761 2922  97 1  0  0 0 0 0 0  00000000
   2.732  3761 2922  98 1  0  0 0 0 0 0  00000000
   2.744  3761 2922  97 1  0  0 0 0 0 0  00000000
   2.757  3761 2904  96 1  0  0 0 0 0 0  00000000
   2.770  3761 2902  95 1  0  0 0 0 0 0  00000000
   2.782  3761 2880  92 1  0  0 0 0 0 0  00000000
   2.794  3761 2881  92 1  0  0 0 0 0 0  00000000
   2.806  3761 2882  92 1  0  0 0 0 0 0  00000000
   2.818  3759 2883  90 1  0  0 0 0 0 0  00000000
   2.831  3757 2884  90 1  0  0 0 0 0 0  00000000
   2.844  3757 2889  90 1  0  0 0 0 0 0  00000000
   2.855  3757 2890  89 1  0  0 0 0 0 0  00000000
   2.868  3757 2891  88 1  0  0 0 0 0 0  00000000
   2.881  3757 2892  87 1  0  0 0 0 0 0  00000000
   2.893  3757 2892  85 1  0  0 0 0 0 0  00000000
   2.906  3774 2890  74 1  0  0 0 0 0 0  00000000
   2.918  3773 2889  62 1  0  0 0 0 0 0  00000000
   2.930  3773 2889   0 0  0  0 0 0 0 0  00000000
   3.092  3726 2942  84 1  0  0 0 0 0 0  00000000
   3.104  3692 2921  89 1  0  0 0 0 0 0  00000000
   3.117  3690 2921  93 1  0  0 0 0 0 0  00000000
   3.129  3688 2921  93 1  0  0 0 0 0 0  00000000
   3.142  3687 2890  89 1  0  0 0 0 0 0  00000000
   3.154  3705 2851  74 1  0  0 0 0 0 0  00000000
   3.167  3705 2851   0 0  0  0 0 0 0 0  00000000
   3.253  3860 2717  83 1  0  0 0 0 0 0  00000000
   3.265  3823 2718  90 1  0  0 0 0 0 0  00000000
   3.278  3821 2738  96 1  0  0 0 0 0 0  00000000
   3.290  3816 2739  98 1  0  0 0 0 0 0  00000000
   3.302  3815 2740  97 1  0  0 0 0 0 0  00000000
   3.315  3815 2740  95 1  0  0 0 0 0 0  00000000
   3.327  3816 2738  91 1  0  0 0 0 0 0  00000000
   3.340  3840 2732  88 1  0  0 0 0 0 0  00000000
   3.352  3840 2730  88 1  0  0 0 0 0 0  00000000
   3.365  3839 2728  89 1  0  0 0 0 0 0  00000000
   3.377  3839 2726  89 1  0  0 0 0 0 0  00000000
   3.402  3835 2727  91 1  0  0 0 0 0 0  00000000
   3.414  3833 2731  94 1  0  0 0 0 0 0  00000000
   3.427  3833 2758  93 1  0  0 0 0 0 0  00000000
   3.440  3833 2758  94 1  0  0 0 0 0 0  00000000
   3.452  3831 2758  94 1  0  0 0 0 0 0  00000000
   3.464  3830 2758  93 1  0  0 0 0 0 0  00000000
   3.477  3828 2758  94 1  0  0 0 0 0 0  00000000
   3.489  3828 2758  93 1  0  0 0 0 0 0  00000000
   3.501  3828 2759  92 1  0  0 0 0 0 0  00000000
   3.514  3828 2759  91 1  0  0 0 0 0 0  00000000
   3.527  3828 2760  92 1  0  0 0 0 0 0  00000000
   3.539  3828 2781  88 1  0  0 0 0 0 0  00000000
   3.551  3828 2781  85 1  0  0 0 0 0 0  00000000
   3.562  3844 2761  80 1  0  0 0 0 0 0  00000000
   3.577  3842 2778  70 1  0  0 0 0 0 0  00000000
   3.588  3816 2801  57 1  0  0 0 0 0 0  00000000
   3.599  3816 2801   0 0  0  0 0 0 0 0  00000000
   3.800  3697 2879  84 1  0  0 0 0 0 0  00000000
   3.811  3658 2879  91 1  0  0 0 0 0 0  00000000
   3.837  3637 2879  98 1  0  0 0 0 0 0  00000000
   3.849  3637 2880  97 1  0  0 0 0 0 0  00000000
   3.861  3638 2880  94 1  0  0 0 0 0 0  00000000
   3.873  3642 2844  88 1  0  0 0 0 0 0  00000000
   3.886  3674 2826  82 1  0  0 0 0 0 0  00000000
   3.898  3720 2826  68 1  0  0 0 0 0 0  00000000
   3.911  3720 2826   0 0  0  0 0 0 0 0  00000000
   4.196  3466 2986  91 1  0  0 0 0 0 0  00000000
   4.208  3442 2942  86 1  0  0 0 0 0 0  00000000
   4.221  3440 2943  90 1  0  0 0 0 0 0  00000000
   4.233  3440 2944  91 1  0  0 0 0 0 0  00000000
   4.246  3440 2914  82 1  0  0 0 0 0 0  00000000
   4.258  3468 2893  60 1  0  0 0 0 0 0  00000000
   4.269  3468 2893   0 0  0  0 0 0 0 0  00000000
   4.370  3546 2854  91 1  0  0 0 0 0 0  00000000
   4.382  3544 2838  92 1  0  0 0 0 0 0  00000000
   4.395  3494 2839  98 1  0  0 0 0 0 0  00000000
   4.407  3494 2843 101 1  0  0 0 0 0 0  00000000
   4.420  3494 2847 100 1  0  0 0 0 0 0  00000000
   4.433  3494 2847  98 1  0  0 0 0 0 0  00000000
   4.444  3513 2845  95 1  0  0 0 0 0 0  00000000
   4.457  3511 2843  95 1  0  0 0 0 0 0  00000000
   4.470  3511 2820  92 1  0  0 0 0 0 0  00000000
   4.482  3511 2820  91 1  0  0 0 0 0 0  00000000
   4.495  3511 2819  90 1  0  0 0 0 0 0  00000000
   4.507  3511 2819  91 1  0  0 0 0 0 0  00000000
   4.519  3511 2819  92 1  0  0 0 0 0 0  00000000
   4.531  3511 2820  93 1  0  0 0 0 0 0  00000000
   4.544  3511 2824  96 1  0  0 0 0 0 0  00000000
   4.556  3511 2828  96 1  0  0 0 0 0 0  00000000
   4.569  3511 2829  97 1  0  0 0 0 0 0  00000000
   4.581  3511 2830  96 1  0  0 0 0 0 0  00000000
   4.593  3507 2831  97 1  0  0 0 0 0 0  00000000
   4.606  3503 2835  97 1  0  0 0 0 0 0  00000000
   4.618  3502 2836  97 1  0  0 0 0 0 0  00000000
   4.631  3500 2837  97 1  0  0 0 0 0 0  00000000
   4.643  3500 2838  98 1  0  0 0 0 0 0  00000000
   4.656  3500 2838  97 1  0  0 0 0 0 0  00000000
   4.667  3500 2838  98 1  0  0 0 0 0 0  00000000
   4.692  3500 2839  99 1  0  0 0 0 0 0  00000000
   4.705  3500 2840  99 1  0  0 0 0 0 0  00000000
   4.730  3500 2840 100 1  0  0 0 0 0 0  00000000
   4.742  3500 2840  99 1  0  0 0 0 0 0  00000000
   4.798  3500 2840 100 1  0  0 0 0 0 0  00000000
   4.817  3500 2840  98 1  0  0 0 0 0 0  00000000
   4.830  3500 2840  99 1  0  0 0 0 0 0  00000000
   4.841  3500 2840  98 1  0  0 0 0 0 0  00000000
   4.855  3500 2840 100 1  0  0 0 0 0 0  00000000
   4.866  3500 2841 100 1  0  0 0 0 0 0  00000000
   4.891  3500 2841  99 1  0  0 0 0 0 0  00000000
   4.903  3498 2841  99 1  0  0 0 0 0 0  00000000
   4.916  3497 2841 100 1  0  0 0 0 0 0  00000000
   4.953  3497 2841  99 1  0  0 0 0 0 0  00000000
   4.967  3497 2841 100 1  0  0 0 0 0 0  00000000
   4.990  3497 2841  99 1  0  0 0 0 0 0  00000000
   5.004  3497 2841 100 1  0  0 0 0 0 0  00000000
   5.053  3497 2840  99 1  0  0 0 0 0 0  00000000
   5.078  3497 2840 100 1  0  0 0 0 0 0  00000000
   5.090  3497 2835 100 1  0  0 0 0 0 0  00000000
   5.114  3497 2835  99 1  0  0 0 0 0 0  00000000
   5.127  3497 2835 100 1  0  0 0 0 0 0  00000000
   5.152  3497 2833  99 1  0  0 0 0 0 0  00000000
   5.164  3497 2831 100 1  0  0 0 0 0 0  00000000
   5.176  3497 2829 100 1  0  0 0 0 0 0  00000000
   5.201  3497 2827 100 1  0  0 0 0 0 0  00000000
   5.240  3497 2822  99 1  0  0 0 0 0 0  00000000
   5.251  3497 2821 100 1  0  0 0 0 0 0  00000000
   5.276  3497 2821  99 1  0  0 0 0 0 0  00000000
   5.290  3497 2821 100 1  0  0 0 0 0 0  00000000
   5.337  3497 2821  99 1  0  0 0 0 0 0  00000000
   5.350  3497 2821 101 1  0  0 0 0 0 0  00000000
   5.362  3497 2821 100 1  0  0 0 0 0 0  00000000
   5.388  3497 2821  99 1  0  0 0 0 0 0  00000000
   5.412  3497 2819  99 1  0  0 0 0 0 0  00000000
   5.426  3497 2818  99 1  0  0 0 0 0 0  00000000
   5.438  3497 2817  99 1  0  0 0 0 0 0  00000000
   5.463  3497 2817 100 1  0  0 0 0 0 0  00000000
   5.488  3497 2817  99 1  0  0 0 0 0 0  00000000
   5.511  3497 2816  98 1  0  0 0 0 0 0  00000000
   5.524  3497 2814  98 1  0  0 0 0 0 0  00000000
   5.536  3497 2795  98 1  0  0 0 0 0 0  00000000
   5.562  3497 2793  97 1  0  0 0 0 0 0  00000000
   5.574  3498 2788  94 1  0  0 0 0 0 0  00000000
   5.586  3503 2762  92 1  0  0 0 0 0 0  00000000
   5.599  3535 2736  85 1  0  0 0 0 0 0  00000000
   5.611  3563 2734  78 1  0  0 0 0 0 0  00000000
   5.623  3645 2711  65 1  0  0 0 0 0 0  00000000
   5.635  3645 2711   0 0  0  0 0 0 0 0  00000000
