time	 y	 z	 f	 w	 l	 r	 u	 d	 m	 multi
   0.000  3800 2248   0 0  0  0 0 0 0 0  00000000
   1.034  3036 2645  74 1  0  0 0 0 0 0  00000000
   1.059  3036 2613  78 1  0  0 0 0 0 0  00000000
   1.072  3036 2614  78 1  0  0 0 0 0 0  00000000
   1.084  3054 2634  76 1  0  0 0 0 0 0  00000000
   1.097  3084 2653  72 1  0  0 0 0 0 0  00000000
   1.109  3162 2674  65 1  0  0 0 0 0 0  00000000
   1.121  3162 2674   0 0  0  0 0 0 0 0  00000000
   1.617  3697 2879  71 1  0  0 0 0 0 0  00000000
   1.630  3697 2863  74 1  0  0 0 0 0 0  00000000
   1.642  3695 2863  77 1  0  0 0 0 0 0  00000000
   1.655  3689 2863  79 1  0  0 0 0 0 0  00000000
   1.667  3687 2863  80 1  0  0 0 0 0 0  00000000
   1.680  3685 2863  79 1  0  0 0 0 0 0  00000000
   1.693  3684 2863  79 1  0  0 0 0 0 0  00000000
   1.717  3682 2863  79 1  0  0 0 0 0 0  00000000
   1.730  3682 2867  78 1  0  0 0 0 0 0  00000000
   1.742  3682 2868  78 1  0  0 0 0 0 0  00000000
   1.754  3681 2873  77 1  0  0 0 0 0 0  00000000
   1.767  3681 2874  77 1  0  0 0 0 0 0  00000000
   1.779  3681 2875  78 1  0  0 0 0 0 0  00000000
   1.792  3681 2876  79 1  0  0 0 0 0 0  00000000
   1.803  3681 2877  79 1  0  0 0 0 0 0  00000000
   1.817  3681 2878  80 1  0  0 0 0 0 0  00000000
   1.844  3681 2879  79 1  0  0 0 0 0 0  00000000
   1.853  3681 2879  80 1  0  0 0 0 0 0  00000000
   1.891  3681 2880  80 1  0  0 0 0 0 0  00000000
   1.903  3681 2881  81 1  0  0 0 0 0 0  00000000
   1.915  3680 2882  80 1  0  0 0 0 0 0  00000000
   1.928  3680 2883  79 1  0  0 0 0 0 0  00000000
   1.940  3680 2884  80 1  0  0 0 0 0 0  00000000
   1.953  3680 2884  79 1  0  0 0 0 0 0  00000000
   1.965  3680 2884  78 1  0  0 0 0 0 0  00000000
   1.978  3697 2884  74 1  0  0 0 0 0 0  00000000
   1.989  3731 2884  65 1  0  0 0 0 0 0  00000000
   2.002  3776 2925  47 1  0  0 0 0 0 0  00000000
   2.014  3776 2925   0 0  0  0 0 0 0 0  00000000
   2.214  3984 2981  77 1  0  0 0 0 0 0  00000000
   2.228  3966 2942  79 1  0  0 0 0 0 0  00000000
   2.239  3966 2941  83 1  0  0 0 0 0 0  00000000
   2.251  3966 2941  85 1  0  0 0 0 0 0  00000000
   2.263  3966 2962  86 1  0  0 0 0 0 0  00000000
   2.275  3966 2963  88 1  0  0 0 0 0 0  00000000
   2.288  3964 2986  87 1  0  0 0 0 0 0  00000000
   2.301  3964 2987  86 1  0  0 0 0 0 0  00000000
   2.313  3964 3006  86 1  0  0 0 0 0 0  00000000
   2.325  3964 3007  85 1  0  0 0 0 0 0  00000000
   2.338  3964 3034  86 1  0  0 0 0 0 0  00000000
   2.350  3962 3035  86 1  0  0 0 0 0 0  00000000
   2.363  3960 3036  85 1  0  0 0 0 0 0  00000000
   2.375  3959 3037  85 1  0  0 0 0 0 0  00000000
   2.387  3958 3038  86 1  0  0 0 0 0 0  00000000
   2.399  3958 3039  86 1  0  0 0 0 0 0  00000000
   2.412  3958 3040  88 1  0  0 0 0 0 0  00000000
   2.425  3957 3041  87 1  0  0 0 0 0 0  00000000
   2.437  3957 3042  87 1  0  0 0 0 0 0  00000000
   2.462  3957 3042  86 1  0  0 0 0 0 0  00000000
   2.475  3957 3042  85 1  0  0 0 0 0 0  00000000
