time	 y	 z	 f	 w	 l	 r	 u	 d	 m	 multi
   0.000  3159 3144   0 0  0  0 0 0 0 0  00000000
   1.946  2440 2369  78 1  0  0 0 0 0 0  00000000
   1.971  2440 2288  83 1  0  0 0 0 0 0  00000000
   1.984  2440 2288  81 1  0  0 0 0 0 0  00000000
   1.996  2460 2313  75 1  0  0 0 0 0 0  00000000
   2.008  2511 2356  60 1  0  0 0 0 0 0  00000000
   2.021  2511 2356   0 0  0  0 0 0 0 0  00000000
   2.120  2632 2293  78 1  0  0 0 0 0 0  00000000
   2.133  2631 2245  78 1  0  0 0 0 0 0  00000000
   2.145  2611 2245  81 1  0  0 0 0 0 0  00000000
   2.158  2611 2245  80 1  0  0 0 0 0 0  00000000
   2.170  2611 2267  76 1  0  0 0 0 0 0  00000000
   2.183  2611 2293  71 1  0  0 0 0 0 0  00000000
   2.195  2609 2326  65 1  0  0 0 0 0 0  00000000
   2.207  2572 2361  51 1  0  0 0 0 0 0  00000000
   2.218  2572 2361   0 0  0  0 0 0 0 0  00000000
   2.444  2589 2467  78 1  0  0 0 0 0 0  00000000
   2.456  2589 2444  81 1  0  0 0 0 0 0  00000000
   2.468  2566 2444  86 1  0  0 0 0 0 0  00000000
   2.480  2566 2444  87 1  0  0 0 0 0 0  00000000
   2.493  2566 2445  87 1  0  0 0 0 0 0  00000000
   2.518  2566 2445  86 1  0  0 0 0 0 0  00000000
   2.530  2567 2445  82 1  0  0 0 0 0 0  00000000
   2.543  2617 2467  77 1  0  0 0 0 0 0  00000000
   2.555  2664 2489  70 1  0  0 0 0 0 0  00000000
   2.567  2665 2490  49 1  0  0 0 0 0 0  00000000
   2.578  2665 2490   0 0  0  0 0 0 0 0  00000000
   2.716  2845 2539  72 1  0  0 0 0 0 0  00000000
   2.729  2819 2520  80 1  0  0 0 0 0 0  00000000
   2.740  2802 2520  82 1  0  0 0 0 0 0  00000000
   2.753  2802 2543  84 1  0  0 0 0 0 0  00000000
   2.766  2802 2544  83 1  0  0 0 0 0 0  00000000
   2.778  2802 2545  83 1  0  0 0 0 0 0  00000000
   2.791  2802 2546  82 1  0  0 0 0 0 0  00000000
   2.803  2809 2546  80 1  0  0 0 0 0 0  00000000
   2.815  2834 2547  75 1  0  0 0 0 0 0  00000000
   2.828  2904 2573  72 1  0  0 0 0 0 0  00000000
   2.839  2905 2612  58 1  0  0 0 0 0 0  00000000
   2.851  2905 2612   0 0  0  0 0 0 0 0  00000000
   2.976  3139 2556  53 1  0  0 0 0 0 0  00000000
   2.989  3069 2554  76 1  0  0 0 0 0 0  00000000
   3.001  3069 2528  80 1  0  0 0 0 0 0  00000000
   3.014  3069 2528  81 1  0  0 0 0 0 0  00000000
   3.026  3069 2529  80 1  0  0 0 0 0 0  00000000
   3.039  3069 2552  77 1  0  0 0 0 0 0  00000000
   3.051  3069 2589  73 1  0  0 0 0 0 0  00000000
   3.063  3094 2646  62 1  0  0 0 0 0 0  00000000
   3.076  3094 2646   0 0  0  0 0 0 0 0  00000000
   3.250  2662 2674  72 1  0  0 0 0 0 0  00000000
   3.261  2632 2621  80 1  0  0 0 0 0 0  00000000
   3.275  2632 2587  82 1  0  0 0 0 0 0  00000000
   3.287  2628 2587  84 1  0  0 0 0 0 0  00000000
   3.300  2626 2587  82 1  0  0 0 0 0 0  00000000
   3.312  2626 2587  80 1  0  0 0 0 0 0  00000000
   3.325  2673 2611  73 1  0  0 0 0 0 0  00000000
   3.336  2803 2676  55 1  0  0 0 0 0 0  00000000
   3.347  2803 2676   0 0  0  0 0 0 0 0  00000000
   3.523  3236 2557  80 1  0  0 0 0 0 0  00000000
   3.535  3219 2520  82 1  0  0 0 0 0 0  00000000
   3.548  3217 2520  85 1  0  0 0 0 0 0  00000000
   3.561  3212 2521  86 1  0  0 0 0 0 0  00000000
   3.573  3212 2527  78 1  0  0 0 0 0 0  00000000
   3.584  3187 2576  67 1  0  0 0 0 0 0  00000000
   3.596  3187 2576   0 0  0  0 0 0 0 0  00000000
   3.833  3569 2576  91 1  0  0 0 0 0 0  00000000
   3.846  3549 2539  90 1  0  0 0 0 0 0  00000000
   3.857  3547 2557  97 1  0  0 0 0 0 0  00000000
   3.870  3545 2575  99 1  0  0 0 0 0 0  00000000
   3.883  3525 2576 102 1  0  0 0 0 0 0  00000000
   3.896  3525 2577 102 1  0  0 0 0 0 0  00000000
   3.908  3525 2577 103 1  0  0 0 0 0 0  00000000
   3.919  3525 2560 102 1  0  0 0 0 0 0  00000000
   3.933  3543 2559 100 1  0  0 0 0 0 0  00000000
   3.946  3543 2533 100 1  0  0 0 0 0 0  00000000
   3.969  3543 2533  99 1  0  0 0 0 0 0  00000000
   3.982  3543 2529  98 1  0  0 0 0 0 0  00000000
   3.995  3543 2528  99 1  0  0 0 0 0 0  00000000
   4.007  3543 2528 102 1  0  0 0 0 0 0  00000000
   4.020  3541 2528 102 1  0  0 0 0 0 0  00000000
   4.032  3536 2528 102 1  0  0 0 0 0 0  00000000
   4.045  3534 2528 103 1  0  0 0 0 0 0  00000000
   4.056  3532 2528 103 1  0  0 0 0 0 0  00000000
   4.069  3531 2528 105 1  0  0 0 0 0 0  00000000
   4.081  3531 2528 104 1  0  0 0 0 0 0  00000000
   4.094  3530 2528 104 1  0  0 0 0 0 0  00000000
   4.130  3529 2527 104 1  0  0 0 0 0 0  00000000
   4.156  3525 2527 103 1  0  0 0 0 0 0  00000000
   4.167  3525 2527 104 1  0  0 0 0 0 0  00000000
   4.181  3525 2526 104 1  0  0 0 0 0 0  00000000
   4.192  3525 2524 101 1  0  0 0 0 0 0  00000000
   4.205  3526 2492  97 1  0  0 0 0 0 0  00000000
   4.217  3579 2472  90 1  0  0 0 0 0 0  00000000
   4.230  3641 2472  80 1  0  0 0 0 0 0  00000000
   4.242  3726 2558  45 1  0  0 0 0 0 0  00000000
   4.254  3726 2558   0 0  0  0 0 0 0 0  00000000
   4.330  3377 2523  96 1  0  0 0 0 0 0  00000000
   4.341  3345 2539  99 1  0  0 0 0 0 0  00000000
   4.355  3329 2575 103 1  0  0 0 0 0 0  00000000
   4.367  3329 2599 104 1  0  0 0 0 0 0  00000000
   4.378  3330 2597 100 1  0  0 0 0 0 0  00000000
   4.393  3367 2552  91 1  0  0 0 0 0 0  00000000
   4.404  3505 2552  75 1  0  0 0 0 0 0  00000000
   4.416  3579 2668  43 1  0  0 0 0 0 0  00000000
   4.427  3579 2668   0 0  0  0 0 0 0 0  00000000
   4.467  3579 2635  83 1  0  0 0 0 0 0  00000000
   4.478  3551 2636  90 1  0  0 0 0 0 0  00000000
   4.490  3511 2664  97 1  0  0 0 0 0 0  00000000
   4.502  3494 2665 100 1  0  0 0 0 0 0  00000000
   4.516  3494 2671 101 1  0  0 0 0 0 0  00000000
   4.527  3494 2672  98 1  0  0 0 0 0 0  00000000
   4.540  3519 2672  97 1  0  0 0 0 0 0  00000000
   4.553  3543 2628  91 1  0  0 0 0 0 0  00000000
   4.566  3568 2605  85 1  0  0 0 0 0 0  00000000
   4.578  3600 2589  79 1  0  0 0 0 0 0  00000000
   4.589  3657 2615  69 1  0  0 0 0 0 0  00000000
   4.602  3655 2640  37 1  0  0 0 0 0 0  00000000
   4.613  3655 2640   0 0  0  0 0 0 0 0  00000000
   5.062  3109 2667  87 1  0  0 0 0 0 0  00000000
   5.074  3080 2689  94 1  0  0 0 0 0 0  00000000
   5.086  3080 2689  99 1  0  0 0 0 0 0  00000000
   5.099  3078 2690 101 1  0  0 0 0 0 0  00000000
   5.111  3072 2691 100 1  0  0 0 0 0 0  00000000
   5.124  3070 2692 101 1  0  0 0 0 0 0  00000000
   5.135  3068 2692 101 1  0  0 0 0 0 0  00000000
   5.149  3068 2687 101 1  0  0 0 0 0 0  00000000
   5.161  3068 2663  99 1  0  0 0 0 0 0  00000000
   5.174  3069 2659 101 1  0  0 0 0 0 0  00000000
   5.186  3073 2639 100 1  0  0 0 0 0 0  00000000
   5.199  3078 2621 100 1  0  0 0 0 0 0  00000000
   5.210  3082 2621  98 1  0  0 0 0 0 0  00000000
   5.223  3083 2621  98 1  0  0 0 0 0 0  00000000
   5.235  3084 2619  98 1  0  0 0 0 0 0  00000000
   5.247  3085 2619  99 1  0  0 0 0 0 0  00000000
   5.260  3086 2619 100 1  0  0 0 0 0 0  00000000
