0.000,0,0
1.065,69,1
1.089,66,1
1.102,61,1
1.115,45,1
1.127,0,0
1.463,65,1
1.475,61,1
1.488,64,1
1.500,63,1
1.513,63,1
1.524,61,1
1.537,53,1
1.549,0,0
1.574,44,1
1.587,68,1
1.599,67,1
1.608,67,1
1.624,67,1
1.633,67,1
1.643,66,1
1.661,63,1
1.674,56,1
1.684,0,0
1.834,83,1
1.847,69,1
1.859,75,1
1.872,73,1
1.885,72,1
1.910,65,1
1.921,61,1
1.935,53,1
1.946,0,0
2.071,67,1
2.083,60,1
2.108,58,1
2.120,55,1
2.134,45,1
2.144,0,0
3.102,42,1
3.113,60,1
3.125,60,1
3.138,61,1
3.175,59,1
3.188,58,1
3.200,55,1
3.213,44,1
3.224,0,0
3.300,57,1
3.311,73,1
3.324,72,1
3.338,73,1
3.362,72,1
3.387,71,1
3.399,68,1
3.412,63,1
3.425,46,1
3.434,0,0
3.548,76,1
3.560,72,1
3.573,73,1
3.598,71,1
3.610,69,1
3.622,64,1
3.635,58,1
3.648,43,1
3.658,0,0
3.772,44,1
3.785,69,1
3.797,68,1
3.809,68,1
3.822,68,1
3.834,68,1
3.846,68,1
3.858,68,1
3.870,67,1
3.895,66,1
3.908,65,1
3.921,64,1
3.934,63,1
3.946,62,1
3.958,62,1
3.971,62,1
3.983,61,1
3.995,60,1
4.008,59,1
4.020,59,1
4.031,58,1
4.045,58,1
4.058,57,1
4.070,57,1
4.082,58,1
4.095,57,1
4.107,57,1
4.119,57,1
4.131,57,1
4.144,57,1
4.155,58,1
4.168,58,1
4.181,59,1
4.194,59,1
4.206,59,1
4.219,59,1
4.231,59,1
4.243,58,1
4.255,55,1
4.268,44,1
4.280,0,0
4.318,81,1
4.329,83,1
4.343,85,1
4.356,85,1
4.368,85,1
4.381,82,1
4.393,75,1
4.405,67,1
4.417,37,1
4.429,0,0
5.049,34,1
5.062,72,1
5.076,68,1
5.087,71,1
5.101,70,1
5.113,69,1
5.125,67,1
5.138,66,1
5.149,64,1
5.162,59,1
5.174,44,1
5.186,0,0
5.286,70,1
5.298,66,1
5.310,68,1
5.335,66,1
5.348,63,1
5.361,60,1
5.373,53,1
5.386,41,1
5.397,0,0
5.498,59,1
5.510,74,1
5.522,71,1
5.535,73,1
5.547,69,1
5.559,68,1
5.572,68,1
5.584,66,1
5.597,61,1
5.609,51,1
5.621,0,0
5.758,83,1
5.771,82,1
5.783,85,1
5.796,86,1
5.807,86,1
5.820,86,1
5.833,85,1
5.857,84,1
5.894,81,1
5.907,80,1
5.919,82,1
5.932,82,1
5.945,83,1
5.959,83,1
5.970,83,1
5.982,82,1
5.994,81,1
6.007,79,1
6.019,80,1
6.031,78,1
6.044,77,1
6.055,76,1
6.069,76,1
6.081,75,1
6.094,75,1
6.105,74,1
6.117,74,1
6.131,73,1
6.142,72,1
6.152,72,1
6.162,72,1
6.180,72,1
6.192,71,1
6.206,71,1
6.217,71,1
6.229,70,1
6.242,68,1
6.267,60,1
6.279,62,1
6.292,64,1
6.303,65,1
6.318,68,1
6.330,71,1
6.341,73,1
6.354,70,1
6.366,68,1
6.379,56,1
6.391,0,0
6.987,81,1
6.999,83,1
7.012,84,1
7.025,84,1
7.037,84,1
7.048,80,1
7.061,77,1
7.073,74,1
7.087,68,1
7.099,56,1
7.110,0,0
7.235,69,1
7.248,65,1
7.260,64,1
7.273,64,1
7.285,63,1
7.297,61,1
7.318,61,1
7.328,58,1
7.347,40,1
7.359,0,0
7.483,61,1
7.497,80,1
7.508,80,1
7.521,80,1
7.533,79,1
7.547,77,1
7.559,71,1
7.571,60,1
7.583,0,0
