time	 y	 z	 f	 w	 l	 r	 u	 d	 m	 multi
   0.000  3932 2517   0 0  0  0 0 0 0 0  00000000
   0.316  3520 2749  80 1  0  0 0 0 0 0  00000000
   0.342  3521 2826  87 1  0  0 0 0 0 0  00000000
   0.354  3526 2843  89 1  0  0 0 0 0 0  00000000
   0.366  3527 2844  90 1  0  0 0 0 0 0  00000000
   0.379  3528 2848  90 1  0  0 0 0 0 0  00000000
   0.391  3532 2849  92 1  0  0 0 0 0 0  00000000
   0.403  3533 2849  91 1  0  0 0 0 0 0  00000000
   0.416  3534 2849  92 1  0  0 0 0 0 0  00000000
   0.429  3535 2849  93 1  0  0 0 0 0 0  00000000
   0.442  3535 2853  92 1  0  0 0 0 0 0  00000000
   0.453  3535 2858  94 1  0  0 0 0 0 0  00000000
   0.466  3535 2859  93 1  0  0 0 0 0 0  00000000
   0.478  3535 2860  94 1  0  0 0 0 0 0  00000000
   0.490  3535 2861  93 1  0  0 0 0 0 0  00000000
   0.503  3535 2861  94 1  0  0 0 0 0 0  00000000
   0.515  3535 2861  93 1  0  0 0 0 0 0  00000000
   0.527  3535 2859  92 1  0  0 0 0 0 0  00000000
   0.539  3535 2857  94 1  0  0 0 0 0 0  00000000
   0.552  3535 2857  93 1  0  0 0 0 0 0  00000000
   0.564  3535 2857  94 1  0  0 0 0 0 0  00000000
   0.590  3535 2857  95 1  0  0 0 0 0 0  00000000
   0.602  3535 2861  95 1  0  0 0 0 0 0  00000000
   0.614  3535 2865  95 1  0  0 0 0 0 0  00000000
   0.627  3534 2871  98 1  0  0 0 0 0 0  00000000
   0.639  3534 2872  96 1  0  0 0 0 0 0  00000000
   0.664  3534 2872  95 1  0  0 0 0 0 0  00000000
   0.689  3530 2838  94 1  0  0 0 0 0 0  00000000
   0.701  3529 2772  87 1  0  0 0 0 0 0  00000000
   0.714  3524 2688  76 1  0  0 0 0 0 0  00000000
   0.726  3478 2686  56 1  0  0 0 0 0 0  00000000
   0.738  3478 2686   0 0  0  0 0 0 0 0  00000000
   0.850  3632 2641  40 1  0  0 0 0 0 0  00000000
   0.863  3536 2785  91 1  0  0 0 0 0 0  00000000
   0.876  3519 2840  98 1  0  0 0 0 0 0  00000000
   0.887  3520 2874  98 1  0  0 0 0 0 0  00000000
   0.900  3520 2875 101 1  0  0 0 0 0 0  00000000
   0.912  3524 2876  98 1  0  0 0 0 0 0  00000000
   0.925  3525 2854  97 1  0  0 0 0 0 0  00000000
   0.938  3526 2805  93 1  0  0 0 0 0 0  00000000
   0.950  3527 2727  84 1  0  0 0 0 0 0  00000000
   0.963  3528 2635  63 1  0  0 0 0 0 0  00000000
   0.972  3528 2635   0 0  0  0 0 0 0 0  00000000
   1.099  3645 2763  34 1  0  0 0 0 0 0  00000000
   1.112  3584 2763  92 1  0  0 0 0 0 0  00000000
   1.123  3584 2792  96 1  0  0 0 0 0 0  00000000
   1.149  3584 2790  96 1  0  0 0 0 0 0  00000000
   1.161  3584 2755  93 1  0  0 0 0 0 0  00000000
   1.173  3584 2694  85 1  0  0 0 0 0 0  00000000
   1.185  3584 2628  67 1  0  0 0 0 0 0  00000000
   1.196  3584 2628   0 0  0  0 0 0 0 0  00000000
   1.347  3559 2744  90 1  0  0 0 0 0 0  00000000
   1.359  3559 2722  89 1  0  0 0 0 0 0  00000000
   1.371  3560 2723  92 1  0  0 0 0 0 0  00000000
   1.383  3560 2756  96 1  0  0 0 0 0 0  00000000
   1.395  3560 2756  95 1  0  0 0 0 0 0  00000000
   1.408  3560 2757  97 1  0  0 0 0 0 0  00000000
   1.421  3560 2763  97 1  0  0 0 0 0 0  00000000
   1.433  3561 2769  96 1  0  0 0 0 0 0  00000000
   1.447  3561 2796  98 1  0  0 0 0 0 0  00000000
   1.471  3561 2800  98 1  0  0 0 0 0 0  00000000
   1.483  3561 2804  98 1  0  0 0 0 0 0  00000000
   1.496  3561 2808  99 1  0  0 0 0 0 0  00000000
   1.507  3561 2809  99 1  0  0 0 0 0 0  00000000
   1.520  3561 2802  97 1  0  0 0 0 0 0  00000000
   1.534  3561 2795  95 1  0  0 0 0 0 0  00000000
   1.545  3561 2748  89 1  0  0 0 0 0 0  00000000
   1.558  3562 2693  79 1  0  0 0 0 0 0  00000000
   1.570  3566 2691  46 1  0  0 0 0 0 0  00000000
   1.582  3566 2691   0 0  0  0 0 0 0 0  00000000
   1.644  3627 2728  86 1  0  0 0 0 0 0  00000000
   1.657  3627 2752  89 1  0  0 0 0 0 0  00000000
